RxPhy,RSSI,Time,MCC,Wi-Fi Ookla UL,Lat,BW ,BSSID,MNC,Long,RSRQ,dataset,Wi-Fi Ookla RTT,EARFCN,PCI,Device/OS,Wi-Fi Ookla DL,Cellular Ookla UL,RSRP,Cellular Ookla RTT,TxPhy,Channel,SSID,TAC,CID,Band,TA,Cellular Ookla DL,Gate / Landmark
172.0,-60.0,,310.0,139.0,,10.0,A8:53:7D:21:FE:7B,410.0,,-14.0,D Concourse-Android,8.0,66986.0,105.0,Android AT&T Pixel 8 Pro,142.0,5.5,-113.0,36.0,229.0,149.0,Helium,6404.0,18408.0,5.0,32.0,28.6,D2
137.0,-69.0,,310.0,45.2,,20.0,70:90:41:47:61:14,410.0,,-14.0,D Concourse-Android,9.0,850.0,105.0,Android AT&T Pixel 8 Pro,48.9,1.8,-110.0,37.0,154.0,44.0,Helium,6404.0,18407.0,5.0,32.0,18.6,D3
286.0,-47.0,,310.0,138.0,,10.0,A8:53:7D:22:03:2C,410.0,,-4.0,D Concourse-Android,8.0,5110.0,454.0,Android AT&T Pixel 8 Pro,216.0,10.7,-59.0,28.0,286.0,40.0,Helium,6404.0,19494.0,5.0,7.0,90.6,D4
270.0,-56.0,,310.0,46.4,,20.0,A8:53:7D:22:1B:4A,410.0,,-14.0,D Concourse-Android,13.0,850.0,105.0,Android AT&T Pixel 8 Pro,41.9,2.2,-114.0,41.0,216.0,6.0,Helium,6404.0,18407.0,2.4,32.0,80.7,D5
137.0,-69.0,,310.0,117.0,,10.0,A8:53:7D:22:10:1C,410.0,,-7.0,D Concourse-Android,9.0,66486.0,229.0,Android AT&T Pixel 8 Pro,90.1,12.3,-83.0,27.0,162.0,153.0,Helium,6404.0,19494.0,5.0,9.0,129.0,D7
154.0,-70.0,,310.0,42.3,,10.0,A8:53:7D:22:0E:FB,410.0,,-5.0,D Concourse-Android,26.0,66486.0,229.0,Android AT&T Pixel 8 Pro,66.0,10.7,-79.0,30.0,195.0,44.0,Helium,6404.0,19494.0,5.0,10.0,147.0,D8
154.0,-72.0,,310.0,114.0,,10.0,A8:53:7D:22:10:1C,410.0,,-7.0,D Concourse-Android,10.0,66486.0,229.0,Android AT&T Pixel 8 Pro,84.4,11.9,-83.0,32.0,146.0,153.0,Helium,6404.0,19494.0,5.0,9.0,142.0,D10
258.0,-64.0,,310.0,162.0,,10.0,00:3E:73:C7:8F:45,410.0,,-8.0,D Concourse-Android,10.0,66486.0,229.0,Android AT&T Pixel 8 Pro,161.0,13.3,-90.0,29.0,216.0,161.0,Helium,6404.0,19494.0,5.0,9.0,88.8,D11
216.0,-64.0,,310.0,54.4,,10.0,A8:53:7D:21:E2:D5,410.0,,-6.0,D Concourse-Android,8.0,66486.0,229.0,Android AT&T Pixel 8 Pro,37.1,9.6,-87.0,28.0,270.0,6.0,Helium,6404.0,19494.0,2.4,10.0,83.5,D12
103.0,-71.0,,310.0,105.0,,10.0,A8:53:7D:21:E2:BB,410.0,,-8.0,D Concourse-Android,11.0,66486.0,229.0,Android AT&T Pixel 8 Pro,67.3,8.9,-87.0,27.0,154.0,44.0,Helium,6404.0,19494.0,5.0,10.0,76.0,D13
137.0,-70.0,,310.0,36.0,,10.0,A8:53:7D:21:E2:D5,410.0,,-5.0,D Concourse-Android,10.0,66486.0,229.0,Android AT&T Pixel 8 Pro,20.6,10.9,-85.0,29.0,206.0,6.0,Helium,6404.0,19494.0,2.4,10.0,62.9,D14
229.0,-57.0,,310.0,45.8,,10.0,A8:53:7D:21:FA:EB,410.0,,-8.0,D Concourse-Android,7.0,66486.0,229.0,Android AT&T Pixel 8 Pro,82.3,12.7,-86.0,37.0,216.0,157.0,Helium,6404.0,19494.0,5.0,10.0,104.0,D15
286.0,-54.0,,310.0,27.9,,10.0,A8:53:7D:21:FA:EB,410.0,,-6.0,D Concourse-Android,9.0,66486.0,229.0,Android AT&T Pixel 8 Pro,78.4,13.1,-87.0,27.0,258.0,157.0,Helium,6404.0,19494.0,5.0,9.0,96.0,D16
258.0,-51.0,,310.0,201.0,,10.0,A8:53:7D:22:08:FB,410.0,,-9.0,D Concourse-Android,6.0,66486.0,229.0,Android AT&T Pixel 8 Pro,203.0,11.2,-87.0,29.0,286.0,48.0,Helium,6404.0,19494.0,5.0,15.0,125.0,D20
162.0,-72.0,,310.0,134.0,,10.0,A8:53:7D:22:08:FB,410.0,,-11.0,D Concourse-Android,7.0,66486.0,229.0,Android AT&T Pixel 8 Pro,116.0,12.0,-70.0,28.0,206.0,48.0,Helium,6404.0,19494.0,5.0,13.0,186.0,D21
103.0,-74.0,,310.0,103.0,,10.0,A8:53:7D:22:0D:DC,410.0,,-6.0,D Concourse-Android,7.0,66486.0,229.0,Android AT&T Pixel 8 Pro,75.3,13.7,-77.0,29.0,162.0,161.0,Helium,6404.0,19494.0,5.0,14.0,153.0,D22
286.0,-54.0,,310.0,153.0,,10.0,A8:53:7D:22:0D:DC,410.0,,-7.0,D Concourse-Android,6.0,66486.0,229.0,Android AT&T Pixel 8 Pro,191.0,12.5,-78.0,28.0,286.0,161.0,Helium,6404.0,19494.0,5.0,13.0,119.0,D23
229.0,-59.0,,310.0,232.0,,10.0,A8:53:7D:22:0A:7C,410.0,,-7.0,D Concourse-Android,7.0,66486.0,229.0,Android AT&T Pixel 8 Pro,165.0,11.2,-82.0,25.0,286.0,165.0,Helium,6404.0,19494.0,5.0,14.0,57.5,D24
229.0,-56.0,,310.0,200.0,,10.0,A8:53:7D:22:06:EB,410.0,,-7.0,D Concourse-Android,6.0,66486.0,229.0,Android AT&T Pixel 8 Pro,165.0,10.9,-88.0,29.0,286.0,48.0,Helium,6404.0,19494.0,5.0,14.0,78.1,D25
258.0,-54.0,,310.0,208.0,,20.0,A8:53:7D:22:14:FB,410.0,,-16.0,D Concourse-Android,7.0,850.0,97.0,Android AT&T Pixel 8 Pro,183.0,31.7,-99.0,23.0,258.0,153.0,Helium,6404.0,18292.0,5.0,21.0,159.0,D26
154.0,-71.0,,310.0,164.0,,20.0,A8:53:7D:22:14:FB,410.0,,-12.0,D Concourse-Android,7.0,850.0,97.0,Android AT&T Pixel 8 Pro,134.0,17.5,-99.0,22.0,195.0,153.0,Helium,6404.0,18292.0,5.0,21.0,67.5,D29
229.0,-56.0,,310.0,170.0,,10.0,A8:53:7D:22:17:CC,410.0,,-6.0,D Concourse-Android,8.0,66486.0,229.0,Android AT&T Pixel 8 Pro,177.0,12.1,-83.0,29.0,206.0,157.0,Helium,6404.0,19494.0,5.0,13.0,185.0,D36
172.0,-62.0,,310.0,138.0,,10.0,A8:53:7D:22:17:CC,410.0,,-7.0,D Concourse-Android,7.0,66486.0,229.0,Android AT&T Pixel 8 Pro,142.0,12.9,-91.0,28.0,172.0,157.0,Helium,6404.0,19494.0,5.0,14.0,95.1,D37
103.0,-74.0,,310.0,64.0,,10.0,A8:53:7D:22:17:CC,410.0,,-10.0,D Concourse-Android,7.0,66486.0,105.0,Android AT&T Pixel 8 Pro,61.7,24.0,-97.0,24.0,130.0,157.0,Helium,6404.0,18407.0,5.0,33.0,,D38/39/40
,,,,120.4,,,,,,,D Concourse-Android,8.88,,,,115.8,11.852,,29.4,,,,,,,,99.45416667,
,,,310.0,4.98,,,A8:53:7D:21:FF:0B,260.0,,-11.0,Food Court,28.0,,398.0,iOS AT&T iPhone 17,31.5,1.06,-88.0,43.0,,161.0,,20422.0,15307275.0,5.0,,73.1,FC1
,,,310.0,7.57,,,3C:94:FD:2D:DE:F3,260.0,,-11.0,Food Court,63.0,,,iOS AT&T iPhone 17,10.5,4.58,-77.0,29.0,,157.0,,20422.0,15307276.0,5.0,,190.0,FC2
,,,310.0,,,,,260.0,,-11.0,Food Court,,,327.0,iOS AT&T iPhone 17,,1.59,-89.0,40.0,,,,20422.0,15307275.0,,,80.0,FC3
,,,310.0,105.0,,,A8:53:7D:21:EB:24,260.0,,-11.0,Food Court,12.0,,327.0,iOS AT&T iPhone 17,57.5,3.42,-87.0,35.0,,36.0,,20422.0,15307275.0,5.0,,206.0,FC4
,,,310.0,76.2,,,D4:20:B0:71:9D:75,260.0,,-10.0,Food Court,10.0,,327.0,iOS AT&T iPhone 17,65.5,6.19,-90.0,47.0,,40.0,,20422.0,15307276.0,5.0,,140.0,FC5
,,,310.0,64.8,,10.0,A8:53:7D:21:FF:0B,410.0,,-7.0,Food Court,10.0,,12.0,iOS AT&T iPhone 14,14.5,42.9,-78.0,36.0,,161.0,,6404.0,19648224.0,5.0,,217.0,FC1
,,,310.0,19.2,,10.0,3C:94:FD:2D:DE:F3,410.0,,-7.0,Food Court,13.0,,12.0,iOS AT&T iPhone 14,63.7,36.4,-83.0,24.0,,157.0,,6404.0,19648224.0,5.0,,259.0,FC2
,,,310.0,5.08,,20.0,3C:94:FD:2E:13:13,410.0,,-12.0,Food Court,256.0,,12.0,iOS AT&T iPhone 14,0.33,70.0,-87.0,22.0,,36.0,,6404.0,19648126.0,5.0,,324.0,FC3
